	filename	is_atleast_one_mobile_tower_detected	precision (greater than threshold)	recall	result_scores_class_1	result_tp_fp_labels_class_1
260	/media/ssd1/cell_data/v5/3287	1	1.0	1.0	0.9999531507492065 - 0.00011194348189746961 - 7.767938222968951e-05 - 4.122171230847016e-05 - 3.8191512430785224e-05 - 2.2051822270441335e-06 - 8.217314757530403e-07 - 3.064719180656539e-07 - 7.800169754546005e-08 - 5.509185641017211e-08 - 4.693634281238701e-08 - 3.9395658291141444e-08 - 2.9478874452593118e-08 - 2.926709896655666e-08 - 2.0364344877066287e-08 - 1.9262341055537036e-08 - 1.2010072047985432e-08 - 1.0666668437409044e-08	1.0 - 0.0 - 0.0 - 1.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0
261	/media/ssd1/cell_data/v5/4146	1	1.0	1.0	0.9999998807907104 - 1.1342496691213455e-05 - 1.0725610991357826e-05 - 1.1686965990520548e-06 - 2.356568131745007e-07 - 1.9489257852001174e-07 - 1.3240497764854808e-07 - 1.248112226903686e-07 - 1.1324301851800556e-07 - 1.1022894597090271e-07 - 7.13112839889618e-08 - 3.650626112516875e-08 - 2.126112264022595e-08 - 1.874270161295044e-08 - 1.2962598994192831e-08 - 1.1805100896822296e-08 - 1.0976482833768841e-08 - 7.39509875558042e-09 - 7.2258448113871054e-09 - 1.0016715235039442e-09	1.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0
262	/media/ssd1/cell_data/v5/2794	1	0.5	0.5	0.9986438155174255 - 0.9068522453308105 - 0.0015323054976761341 - 3.3185355277964845e-05 - 1.5193041690508835e-05 - 6.110201866249554e-06 - 3.058280071854824e-06 - 7.453911621269071e-07 - 2.6007776909864333e-07 - 9.796674760309543e-08 - 7.849300942552873e-08 - 7.178701366683526e-08 - 3.937192261105338e-08 - 2.3251843117577664e-08 - 1.7014851749763693e-08 - 4.031803779724896e-09 - 2.1046704379301673e-09	1.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0
263	/media/ssd1/cell_data/v5/3008	1	1.0	1.0	0.999992847442627 - 4.498630005400628e-05 - 6.016419320076238e-06 - 9.421046343049966e-08 - 6.98121880304825e-08 - 6.697669618915825e-08 - 6.427880805404129e-08 - 3.663691217070664e-08 - 3.507272339220435e-08 - 3.18228110529617e-08 - 2.65094506346486e-08 - 1.6827627291604585e-08 - 8.224063208217558e-09 - 5.973002981107811e-09 - 5.46212008956104e-09 - 5.118401702475239e-09 - 4.929459063163222e-09 - 3.857534291995535e-09 - 2.7836548621706925e-09 - 1.406526006775266e-09 - 1.2936114401895793e-09	1.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0
264	/media/ssd1/cell_data/v5/126	1	1.0	1.0	0.9970319271087646 - 3.3846983569674194e-05 - 3.210783688700758e-05 - 1.909461570903659e-05 - 1.4826910046394914e-05 - 3.498024398140842e-06 - 3.4244176276843064e-06 - 1.9374117528059287e-06 - 6.474861038441304e-07 - 3.0349619351e-07 - 7.476396035599464e-08 - 2.492066641934798e-08 - 7.513403232906057e-09	1.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0
265	/media/ssd1/cell_data/v5/3969	1	1.0	1.0	0.9999892711639404 - 0.001868471852503717 - 0.00021714363538194448 - 1.4618538443755824e-05 - 1.3695427696802653e-05 - 1.2806011909560766e-05 - 9.218818377121352e-06 - 5.875340775673976e-06 - 2.3706681986368494e-06 - 1.4540153188136173e-06 - 7.298741024897026e-07 - 3.9309909993789915e-07 - 3.484721844415617e-07 - 5.8786646661701525e-08 - 4.537570674756353e-08 - 3.242948309889471e-08	1.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0
266	/media/ssd1/cell_data/v5/296	1	1.0	1.0	0.9999985694885254 - 0.9999105930328369 - 2.8625130653381348e-05 - 2.465845682309009e-05 - 2.1363401174312457e-05 - 1.9626098946901038e-05 - 6.909261628607055e-06 - 5.471217264130246e-06 - 1.8441306792738033e-06 - 1.5524373111475143e-06 - 3.613477872477233e-07 - 2.783502317527109e-08 - 2.899593676275458e-09 - 5.002478032506419e-12	1.0 - 1.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0
267	/media/ssd1/cell_data/v5/3811	1	1.0	1.0	0.9998505115509033 - 3.0522249289788306e-05 - 7.553388968517538e-06 - 4.200192506687017e-06 - 8.051210329540481e-07 - 1.7651464645496162e-07 - 1.4230553802008217e-07 - 5.875088504581072e-08 - 4.240725459681016e-08 - 3.981498508665027e-08 - 2.4813664012413028e-08 - 1.8274196378342822e-08 - 1.1279082556825415e-08 - 7.832785975381285e-09 - 3.530695291686925e-09 - 1.9714876398069237e-09 - 1.0477902989691756e-09 - 5.124358160024656e-10	1.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0
268	/media/ssd1/cell_data/v5/1090	1	1.0	1.0	0.9999998807907104 - 2.9004033422097564e-05 - 2.3241616418090416e-06 - 5.198412509344053e-07 - 2.635488272062503e-07 - 1.8960747638629982e-07 - 1.670483555926694e-07 - 4.037823586600098e-08 - 3.009569127243594e-08 - 2.7924571099902096e-08 - 2.524276609960907e-08 - 6.878359215534147e-09 - 3.879167653764171e-09 - 3.8708600769155055e-09 - 3.0329112554738913e-09 - 2.9002740209449485e-09 - 2.6232944705384398e-09 - 1.561780815784175e-09 - 1.5192660463014818e-09 - 1.3336215465287182e-09	1.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0
269	/media/ssd1/cell_data/v5/3252	1	1.0	1.0	0.9999992847442627 - 0.00015645215171389282 - 0.00011286322114756331 - 6.531592225655913e-05 - 4.3122225179104134e-05 - 1.4541927839673008e-06 - 4.646301476896042e-07 - 3.768601288811624e-07 - 3.3117072462118813e-07 - 1.5419244903114304e-07 - 1.4670186487819592e-07 - 1.1526540077966274e-07 - 7.835942739120583e-08 - 5.35836619519614e-08 - 2.8678588392949678e-08 - 2.7982261840975298e-08 - 2.6595039059884584e-08 - 2.2511413177994655e-08 - 1.217063871905566e-08 - 9.128506839317652e-09	1.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0
